dataset,classifier,n_folds,n_repeats,n_scores,mean_accuracy,std_accuracy,ci95_lower,ci95_upper
10min,CART,5,3,15,0.5751078274290067,0.001405149082742648,0.5743967238801436,0.5758189309778697
10min,C4.5,5,3,15,0.5771699765707942,0.000955860424986253,0.5766862444538442,0.5776537086877441
10min,Extra Trees Classifier,5,3,15,0.6465368018102311,0.001524744632782096,0.6457651745624198,0.6473084290580424
10min,Gradient Boosting,5,3,15,0.6482583409971358,0.00164582262765179,0.6474254398297821,0.6490912421644894
10min,Hist Gradient Boosting,5,3,15,0.6533241449773449,0.0019455850728872638,0.6523395430821177,0.6543087468725721
10min,Random Forest,5,3,15,0.6424920322743812,0.0016169493789710378,0.6416737429869029,0.6433103215618595
10min,Adaboost,5,3,15,0.6464082707682034,0.0015476331591394324,0.645625060327889,0.6471914812085178
20min,CART,5,3,15,0.6437904902704754,0.0018066946906942908,0.6428761766065066,0.6447048039344442
20min,C4.5,5,3,15,0.6459562720286178,0.001250321577913527,0.6453235220078593,0.6465890220493764
20min,Extra Trees Classifier,5,3,15,0.7493974180649888,0.0015404410960715164,0.7486178473107648,0.7501769888192129
20min,Gradient Boosting,5,3,15,0.715667697546101,0.002051780652665713,0.714629353272516,0.7167060418196861
20min,Hist Gradient Boosting,5,3,15,0.7199807862639336,0.0016230239583097618,0.7191594228151591,0.7208021497127081
20min,Random Forest,5,3,15,0.7334329112563563,0.0014872144147861771,0.7326802769193573,0.7341855455933554
20min,Adaboost,5,3,15,0.7147255556636392,0.0015820375529414326,0.7139249341978119,0.7155261771294664
30min,CART,5,3,15,0.7195052629862689,0.001310456158141282,0.7188420806690838,0.720168445303454
30min,C4.5,5,3,15,0.7223573744465193,0.0017713322632782501,0.7214609566399658,0.7232537922530727
30min,Extra Trees Classifier,5,3,15,0.863917258548731,0.0007225447154555659,0.8635516004718173,0.8642829166256447
30min,Gradient Boosting,5,3,15,0.7568833573568946,0.001270752358182512,0.7562402679347631,0.7575264467790261
30min,Hist Gradient Boosting,5,3,15,0.7628062818198109,0.0011291765315693636,0.7622348396513225,0.7633777239882993
30min,Random Forest,5,3,15,0.8210065419784811,0.0012292870683426186,0.820384436888277,0.8216286470686852
30min,Adaboost,5,3,15,0.7461658409810688,0.0011383828559918302,0.7455897397696012,0.7467419421925363
